predictedValue,RealValue,ErrorPercent
'25.652226628174716','30.0','14.492577906084279'
'25.41621212005365','58.6','56.62762436850913'
'25.14199389870516','56.4','55.42199663350149'
'24.841386532037586','70.9','64.96278345269734'
'24.526768913822373','10.9','125.01622856717773'
'24.21013561440744','16.3','48.52843935219289'
'23.90224044021509','53.3','55.15527121910865'
'23.611923522740874','28.2','16.269774742053634'
'23.34568682036981','21.6','8.081883427638003'
'23.107547889932025','8.7','165.60399873485088'
'22.899163757300716','64.8','64.66178432515322'
'22.72018170323152','52.5','56.72346342241615'
'22.568747138971666','9.8','130.2933381527721'
'22.44208422586688','74.0','69.67285915423395'
'22.337064018286117','16.4','36.201609867598286'
'22.25068680572376','42.2','47.27325401487261'
'24.593922839090773','32.5','24.326391264336085'
'24.582095500394477','36.1','31.905552630486216'
'24.583377076843362','16.5','48.99016410208098'
'24.603651385063397','33.8','27.208131996853847'
'24.64652600064356','7.6','224.29639474531'
'24.712715915849323','46.0','46.276704530762345'
'24.79973270174092','45.8','45.852112004932486'
'24.90193819517029','34.3','27.39959709862889'
'25.0109752229332','27.4','8.719068529440868'
'25.11653719408612','34.3','26.77394404056524'
'25.20739133604009','10.3','144.7319547188358'
'25.272534409720105','48.7','48.105678830143525'
'25.30234073834459','47.9','47.17674167360211'
'25.289563407989572','21.7','16.541766857094807'
'25.230070319234244','26.1','3.333063910979914'
'25.123233900814277','20.3','23.759772910415155'
'23.684994109928667','23.9','0.8996062346080832'
'23.70632134392884','3.3','618.3733740584497'
'23.74626308759604','52.5','54.769022690293255'
'23.80759295746863','3.0','693.586431915621'
'23.890907952134157','2.6','818.8810750820828'
'23.99429753921605','2.8','756.9391978291446'
'24.1132758440686','73.3','67.10330717043847'
'24.241007171981604','15.5','56.39359465794583'
'24.585453106627583','51.3','52.075140143026154'
'24.655190036078213','91.5','73.0544371190402'
'24.68869979286974','12.6','95.94206184817256'
'24.68095816511448','43.0','42.602422871826796'
'24.629858981015918','1.5','1541.9905987343946'
'24.5363943591044','0.2','12168.197179552199'
'28.23037702540748','12.6','124.05061131275778'
'28.099482582471854','2.5','1023.9793032988741'
'27.88926882306781','18.7','49.14047498966743'
'27.606423176429182','3.0','820.2141058809727'
'27.260261193086897','11.1','145.58793867645852'
'26.862174447776084','15.6','72.19342594728259'
'26.424987351389547','10.7','146.96249861111727'
'25.96227587031124','7.1','265.6658573283274'
'25.487698500402022','8.9','186.37863483597775'
'25.01438240318246','7.0','257.3483200454637'
'24.118335954751437','39.9','39.55304271992121'
'23.71501564464432','6.9','243.6958789078887'
'23.351291712109823','15.1','54.644315974237244'
'26.011715860363914','36.2','28.144431324961573'
'25.761616548868624','15.7','64.08672961062818'
'25.460183172123294','23.0','10.696448574449105'
'25.11900292886491','11.8','112.87290617682125'
'24.369582093571825','12.2','99.75067289812972'
'23.987628660278187','74.0','67.58428559421866'
'23.616833295596564','20.0','18.08416647798282'
'23.267047376378457','36.4','36.079540174784455'
'22.945922460861173','20.3','13.034100792419567'
'22.65877873800355','37.6','39.737290590416094'
'22.40869294607539','49.4','54.63827338851135'
'22.19676182309719','8.0','177.45952278871488'
'22.022480791977497','42.8','48.5456056262208'
'21.884171860768983','2.0','994.2085930384492'
'21.779399431414355','18.7','16.46737663857944'
'25.070802167692847','56.1','55.31051307006622'
'25.034866646977672','38.5','34.97437234551254'
'25.000960565077442','63.8','60.81354143404789'
'24.975905337898514','55.6','55.07930694622569'
'24.964826372957553','31.4','20.494183525612883'
'24.970464923864444','30.2','17.316341311707138'
'24.992752048255845','52.8','52.66524233284877'
'25.028711958714137','57.7','56.622682913840315'
'25.072719540804023','15.7','59.69885057836958'
'25.11708892538179','13.1','91.73350324718925'
'25.152924135076752','57.5','56.25578411291'
'25.171126257720076','65.1','61.33467548737315'
'25.163430187894612','15.8','59.26221637907981'
'25.12334108190584','67.3','62.66962692138806'
'25.046856550466664','15.4','62.641925652380934'
'24.93289240799552','57.1','56.33468930298508'
'24.486939215319133','12.2','100.71261651900929'
'24.64891588732264','22.1','11.533556051233662'
'24.756470263258297','26.4','6.2254914270518995'
'24.882382549517686','28.0','11.134348037436835'
'25.023951288508353','35.6','29.708001998572044'
'25.175784978774526','35.3','28.68049581083703'
'25.330047940509886','25.9','2.200587102278429'
'25.47701656181602','21.8','16.86704844869733'
'25.605897524186457','5.7','349.22627235414836'
'25.705821684214634','19.1','34.585453844055664'
'25.766900265855597','41.8','38.35669792857512'
'25.781218472683918','11.1','132.26322948363892'
'25.74364768010218','36.2','28.884951159938737'
'25.652380245762732','2.9','784.5648360607839'
'25.509127145949982','34.1','25.193175525073368'
'27.825334478917632','9.9','181.06398463553163'
'27.969466957136987','2.0','1298.4733478568494'
'27.85940821784837','0.6','4543.234702974728'
'27.71225027695379','0.2','13756.125138476895'
'27.50934348431683','9.2','199.01460309040036'
'27.257024309796194','15.5','75.8517697406206'
'26.635570329712827','11.7','127.65444726250281'
'26.28408880061168','5.8','353.1739448381324'
