predictedValue,RealValue,ErrorPercent
'21.98080829310097','66.3','66.84644299683112'
'21.720136347582923','15.5','40.12991191988982'
'21.506798511035864','20.9','2.9033421580663425'
'21.339824376614985','35.8','40.39155202062853'
'21.216837458207674','30.4','30.2077715190537'
'21.134527113057263','40.0','47.163682217356836'
'23.634426331623413','122.6','80.72232762510325'
'23.50542943077116','20.5','14.660631369615407'
'23.39081964132992','35.3','33.73705484042515'
'23.299444273194403','90.3','74.19773613156767'
'23.237958221724828','75.5','69.22124738844394'
'23.21007500525804','28.7','19.128658518264665'
'23.21611880264319','77.9','70.19753683871221'
'23.252944753186934','100.6','76.88574080200105'
'23.314248249711643','67.1','65.2544735473746'
'23.391232680310626','18.9','23.763135874659408'
'23.47355689850207','56.7','58.600428750437274'
'23.550446186277597','53.3','55.81529796195572'
'23.611829540808742','22.7','4.016870223827061'
'23.649364966325983','73.1','67.64792754264572'
'23.657232999999508','24.5','3.439865306124459'
'23.632613614289497','40.9','42.218548620319076'
'22.55556501629984','36.1','37.51921048116388'
'22.49232561679711','11.2','100.82433586425992'
'22.45842846567796','58.2','61.41163493869767'
'22.458983251392887','34.7','35.27670532739803'
'22.496454108224462','25.1','10.372692795918482'
'22.57022150154961','9.5','137.58127896368012'
'22.676447745555492','46.9','51.649365148069315'
'22.808281977626933','25.1','9.13035068674529'
'22.956398027249353','27.9','17.719003486561455'
'23.10981485090827','10.7','115.97957804587169'
'23.256910748534818','44.2','47.38255486756829'
'23.386515536805206','60.7','61.47196781415947'
'23.48895364237916','80.6','70.8573776149142'
'23.556917588114725','68.2','65.45906512006638'
'23.586074584704463','29.9','21.11680740901517'
'23.575345198505662','25.6','7.908807818337263'
'30.211851326227517','57.4','47.36611267207749'
'30.321998450053535','62.0','51.09355088701043'
'30.332226353702627','72.9','58.392007745263896'
'30.241539800405636','33.2','8.911024697573392'
'30.05265386128896','42.9','29.94719379652923'
'29.771813506571416','16.7','78.27433237467915'
'29.408415640847316','78.3','62.44135933480547'
'28.974468799708227','52.6','44.915458555687785'
'28.483935813762713','66.0','56.842521494298914'
'27.95200972349886','0.2','13876.00486174943'
'27.39437323804377','68.4','59.94974672800619'
'26.826487824019132','67.8','60.43290881413107'
'26.262951228946317','5.5','377.5082041626603'
'25.71695316667131','59.7','56.923026521488595'
'25.199849207565215','10.1','149.5034575006457'
'24.720863555781378','66.8','62.992719227872186'
'27.28391502360271','22.4','21.803192069654962'
'27.01302813458557','0.2','13406.514067292785'
'26.661540145513737','38.5','30.749246375288998'
'25.765770110737794','3.5','636.1648603067941'
'25.252122618350697','1.8','1302.895701019483'
'24.717235839318562','55.3','55.3033709958073'
'24.178203398715237','8.0','202.22754248394045'
'23.651127944526507','2.5','846.0451177810603'
'23.150370952208817','1.4','1553.5979251577728'
'22.688001828126687','65.2','65.20245118385478'
'22.273463971761092','14.9','49.486335380946926'
'21.913450719739526','0.8','2639.1813399674406'
'21.611964118455695','95.3','77.32217825975268'
'21.370516436140505','1.4','1426.465459724322'
'21.18842897430022','0.3','6962.809658100074'
'24.765338465021518','15.0','65.1022564334768'
'24.5892045062137','14.1','74.39152132066454'
'24.402153350375727','33.5','27.15775119290828'
'24.21470476693822','11.8','105.20936243167979'
'24.036451874133206','37.5','35.90279500231145'
'23.875183169836767','3.0','695.8394389945589'
'23.736214280544726','66.5','64.30644469091018'
'23.622011939743818','21.1','11.952663221534673'
'23.532154310483612','21.3','10.479597701800994'
'23.46362639567139','0.8','2832.9532994589235'
'23.411403971340352','41.1','43.03794654175097'
'23.369241356216122','30.2','22.618406105244627'
'23.330553322990447','27.9','16.377945078887283'
'23.28927323095633','65.5','64.4438576626621'
'23.240578794557187','18.3','26.99769833091359'
'23.181401614879086','9.6','141.4729334883238'
'23.669318299616556','3.1','663.5263967618243'
'23.65691676108031','0.2','11728.458380540156'
'23.668961598176985','21.8','8.573218340261395'
'23.783585061896883','9.9','140.23823294845334'
'24.017772474761312','21.9','9.670193948681796'
'24.166903871807982','3.3','632.3304203578177'
'24.32468270478306','2.0','1116.2341352391531'
'24.479160444150082','8.3','194.92964390542264'
'24.61774578688564','28.8','14.521716017758202'
'24.728415515122474','6.4','286.38149242378864'
'24.827576963879913','5.3','368.4448483750927'
'24.804348036310106','1.4','1671.7391454507222'
'24.730779329776777','6.1','305.4226119635538'
'29.542908841557622','21.6','36.77272611832232'
'29.81044263610108','9.2','224.02655039240304'
'30.0043896689352','7.6','294.7946009070422'
'30.1188013452203','30.7','1.8931552272954324'
'30.15023769456912','13.9','116.90818485301526'
'30.097901838677256','8.9','238.17867234468824'
'29.963641502239827','9.4','218.76214364084922'
'29.751823517370678','16.5','80.31408192345866'
'29.469094652117803','26.7','10.371141019167807'
'29.124047555206594','2.6','1020.1556752002535'
'28.726814094821485','12.9','122.68848135520531'
'28.288610089539795','14.1','100.62844035134606'
'27.821255744465432','15.8','76.08389711686982'
'27.336695395722593','6.4','327.13586555816556'
'26.846538727055012','9.2','191.81020355494582'
'26.361643606114068','22.9','15.11634762495227'
'28.289537019352508','99.8','71.65377052169087'
'28.137753340432425','28.2','0.22073283534600677'
'27.895022469463647','23.1','20.75767302798115'
'27.568575514531314','125.9','78.10279943246123'
'27.16901207925028','40.9','33.572097605745036'
'26.70965757638247','26.7','0.036170698061683736'
'26.205772560652132','61.1','57.110028542304214'
'25.673684521098306','62.2','58.72397986961687'
'25.129913938422618','9.9','153.8375145295214'
'24.59035980163242','13.6','80.81146912965015'
'24.069596897499267','21.4','12.474751857473217'
'23.580320489400968','38.4','38.59291539218498'
'23.132956197976224','24.8','6.721950814612003'
'22.735436456671188','30.8','26.18364786795069'
'22.39313168205907','22.4','0.030662133664855727'
'22.108915258984403','27.9','20.756576132672386'
