predictedValue,RealValue,ErrorPercent
'25.304036554413187','16.4','54.29290581959262'
'24.272361510014434','42.2','42.48255566347291'
'27.59694046685263','32.5','15.086337025068833'
'26.229844882841007','36.1','27.341149909027685'
'25.238391642297756','16.5','52.959949347259126'
'24.623576244917217','33.8','27.149182707345503'
'24.37280518215914','7.6','220.69480502840975'
'24.46007730535848','46.0','46.8259189013946'
'24.84642967616378','45.8','45.75015354549393'
'25.480640230660697','34.3','25.712419152592712'
'26.30017399825863','27.4','4.0139635100049995'
'27.232354301582404','34.3','20.605381044949254'
'28.195735479741302','10.3','173.74500465768253'
'29.101649329289444','48.7','40.24301985772188'
'29.85589373510254','47.9','37.67036798517215'
'30.360529023167828','21.7','39.910271996165115'
'30.515745386344747','26.1','16.91856469863887'
'30.22176344755769','20.3','48.875682007673355'
'34.60500699577358','23.9','44.790824250098666'
'33.303971367377585','3.3','909.2112535568965'
'32.24457838500439','52.5','38.5817554571345'
'31.43370158746916','3.0','947.7900529156386'
'30.866217566114756','2.6','1087.1622140813367'
'30.525051906209228','2.8','990.1804252217582'
'30.38146682439276','73.3','58.551887006285455'
'30.39558599561576','15.5','96.10055481042427'
'30.835595149889855','51.3','39.89162738812894'
'30.88965381742537','91.5','66.24081550008157'
'30.768294522872225','12.6','144.19281367358906'
'30.38728720243978','43.0','29.331890226884234'
'29.660179741652087','1.5','1877.345316110139'
'28.50000382287135','0.2','14150.001911435675'
'25.392774741200355','12.6','101.52995826349489'
'24.640539101130344','2.5','885.6215640452139'
'24.09057346648308','18.7','28.826596077449622'
'23.717796492411367','3.0','690.5932164137123'
'23.48639098183969','11.1','111.58910794450172'
'23.35047781864455','15.6','49.68255011951634'
'23.25499601803631','10.7','117.33641138351692'
'23.136771370137467','7.1','225.87001929771077'
'22.925752032776927','8.9','157.59271946940368'
'22.546385798228243','7.0','222.09122568897493'
'20.961928384069893','39.9','47.463838636416305'
'19.592027568613503','6.9','183.94242853063045'
'17.72742490024814','15.1','17.400164902305555'
'20.856556344105456','36.2','42.385203469321944'
'19.059599261665994','15.7','21.39872141188532'
'17.621872634799956','23.0','23.383162457391492'
'16.53829502320366','11.8','40.15504256952253'
'15.347722272268697','12.2','25.80100223171064'
'15.166279682700292','74.0','79.50502745581042'
'15.191508943839722','20.0','24.04245528080139'
'15.358269888719633','36.4','57.80695085516584'
'15.592318326565533','20.3','23.19055011544073'
'15.811748049817538','37.6','57.947478590910805'
'15.92858302092236','49.4','67.75590481594664'
'15.85048707643864','8.0','98.131088455483'
'15.482556114785211','42.8','63.82580347012801'
'14.729156168411919','2.0','636.4578084205959'
'13.495770061588246','18.7','27.83010662252275'
'15.238318639743738','56.1','72.83722167603611'
'13.753459990277292','38.5','64.27672729798107'
'12.67544705960529','63.8','80.13252811974093'
'12.003289437480475','55.6','78.41134993258908'
'11.722174872088885','31.4','62.66823289143667'
